Item Name ,Price (USD),Quantity,Total Price (USD),Purchase Link
Dsservo 35KG DS3235 Metal Gear Digital Servo ,$8.37,18,$150.66,(Alibaba) https://www.alibaba.com/product-detail/Dsservo-Waterproof-Servo-High-Torque-35KG_62204650069.html?spm=a2700.galleryofferlist.normal_offer.d_title.583e13a0sbC2pF&selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD
Chanzon Header Strip for Arduino GPIO 40-pin x 20pcs Female/Male Pins,$9.99,1,$9.99,(Amazon) https://www.amazon.com/gp/product/B09MY5MJ36/ref=ewc_pr_img_1?smid=A14FP9XIRL6C1F&th=1
HiLetgo 4pcs NRF24L01+ ,$7.89,1,$7.89,(Amazon) https://www.amazon.com/gp/product/B00LX47OCY/ref=ewc_pr_img_3?smid=A30QSGOJR8LMXA&psc=1
"1600 Pcs M3 Screw Kit, M3 Button Head and Socket Head Screws",$15.00,1,$15.00,(Amazon) https://www.amazon.com/Takytao-Button-Screws-Machine-Assortment/dp/B0D3TRRKSG/ref=sr_1_8?dib=eyJ2IjoiMSJ9.s66_F5gP9xVAo5XmVdK9yuSrovaVJD9fJVkW_7YVTnn88TJr2y3UBBl1Jw3nTQkCO0vSGNrPka1YtJrr894JVvmQHLnIPsD5ZLFml-T9o9nTRF58ekvpIFkbj8hiCb1q2Td90EMePDAb6z1yF84Y6Xy1aPhHnX6xE1gB2vdxqihg4oaZ8UP3Qd38OAQdwWAm0HEIf4eIrHLcDrpUiUzP2Ck_ju1sp2PfWhZxkDXfKX4.kmuCC5Ut-A8lqzbbL1tiAbz2EpNU3z6IoMtzH5iLRdE&dib_tag=se&keywords=m3&qid=1750190775&sr=8-8&th=1
SUNLU TPU 3D Printer Filament 1.75mm,$23.99,1,$23.99,(Amazon) https://www.amazon.com/SUNLU-TPU-Filament-1-75mm-Flexible/dp/B0BXNWK6NS/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Ewrsc8t9jvotneNapKkr9GT46xhjNoEAaEtXWEHERU2z9d4KBr8tR1a59Ke-HZMJIynT9J5jOEJmJvSii4vtEs_fC_QmBrX01IdiHd_n7P6JtnYfkeS7wEfAZTgp8_UvKVPnJow7Ht5b4PfS07FcALS7XqkSL6G7qPMeCP6jo8Bl1xOgCQPt8XGIxdA7_bisIptTlMJ1Sk91lYQD2wFeQ3sS8XMLK2gSL8Yc_27DCpg.JKWQP5U9TdDv_P0YWePLR355t1FkvjngdbK7S5-D3jc&dib_tag=se&keywords=tpu&qid=1750190989&sr=8-4&th=1
ELEGOO PLA Plus Filament 1.75mm Red 1KG,$19.99,1,$19.99,(Amazon) https://www.amazon.com/ELEGOO-Filament-Dimensional-Accuracy-Compatible/dp/B0BM72LMQH/ref=sr_1_3_pp?crid=14NE1VC4MH6N1&dib=eyJ2IjoiMSJ9.ZbbAjfWdFyrDwlgQqJDTnBXvApjfZRn4C5V6Pa4kJy--gn45H4zix3oEO2u9T2h9belox7jLJ-lDTX3nWssd7okcWbGyUc4N5BR1BDrR6kKJsfuhYoStj3eVnSuZTxE-HKBHuzh9y52KWt6jOMogW1Mx-GhTcJiWAZ8am47iDnL1b0QWmvAxXmgXql87RNXBo28zCtPcwJCixULnuO0RT2kdR9pL2-zHwXsCcD2IQlA.3St-Hp-1pyNKquyNzR6msW0ownOuzch3un8dhFnhkVQ&dib_tag=se&keywords=pla+plus&qid=1750191185&sprefix=pla+plus%2Caps%2C131&sr=8-3
ELEGOO PLA Plus Filament 1.75mm Black 1KG,$16.99,1,$16.99,(Amazon) https://www.amazon.com/ELEGOO-Filament-Dimensional-Accuracy-Compatible/dp/B0BM721XHT/ref=sr_1_3_pp?crid=14NE1VC4MH6N1&dib=eyJ2IjoiMSJ9.ZbbAjfWdFyrDwlgQqJDTnBXvApjfZRn4C5V6Pa4kJy8dkDnoiN4_p8yg7o6WMEtZfrkc_ygwpFLXO15eMbNwP4kcWbGyUc4N5BR1BDrR6kKJsfuhYoStj3eVnSuZTxE-GX6194wyAOHNG_hUpDSDnDLAWRpLwfFLUDJK1gRjNeESsNvZzt5zQdfLOH_WKy7bE5ulwh-CZh4C9Uigg_i4hXS__Lv9ShnTndb-VbQCWMc.5rOi7RHw75JJmphDGH3o152oioseNQKc6rk7Z7IGdYc&dib_tag=se&keywords=pla%2Bplus&qid=1750191103&sprefix=pla%2Bplus%2Caps%2C131&sr=8-3&th=1
MEGA 2560 PRO Embed,$17.99,2,$35.98,https://www.amazon.com/Songhe-MEGA-2560-ATMEGA2560-Pro-Pinheader/dp/B07TGF9VMQ/ref=sr_1_1?crid=3FGJ8GKN083RR&dib=eyJ2IjoiMSJ9.aJcP0-Qq9DJrx1RhCrsKm-lpOCs50M2NhfJn9zXwznLMc43Pp6vDFwOgQln_LL_FnSJuVBfmdGTDAZEYS_kDJNh5XN5UKXGvqtLV08oZbXwNjkFboNS9t9rvTWhgvGkGlClWlBQmupzwj7ipfDza2y5zLvXqWMO3jfkiy7-kJDWQIy7s_9goVpkaFCs0R_8AGxh3Jqsv3bJxbchEKOPbnbgB2mzaX5WFeAVus_BVkzA.nGLId4lt7RVHM6FWTpHTDfvAcbkCnuTe0UyuLXVXY3U&dib_tag=se&keywords=arduino+mega+mini&qid=1750191363&sprefix=arduino+mega+mini%2Caps%2C140&sr=8-1
BOJACK 3 Values 130 Pcs Solderless Breadboard,$9.99,1,$9.99,(Amazon) https://www.amazon.com/BOJACK-Values-Solderless-Breadboard-Flexible/dp/B08Y59P6D1?psc=1&pd_rd_w=t3oM0&content-id=amzn1.sym.ea1d9533-fbb7-4608-bb6f-bfdceb6f6336&pf_rd_p=ea1d9533-fbb7-4608-bb6f-bfdceb6f6336&pf_rd_r=0CF2QRNGDC0355404MMA&pd_rd_wg=g2lFX&pd_rd_r=c4766ed0-3abc-468a-ad2c-ccd0e00e998f&ref_=sspa_dk_detail_sbt_1&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM=
24 Values Electrolytic Capacitor Assortment Kit,$9.99,1,$9.99,(Amazon) https://www.amazon.com/ALLECIN-Electrolytic-Capacitor-Assortment-Kit/dp/B0C1VBXCQM/ref=sr_1_3?crid=1SWQL1WOBHH2O&dib=eyJ2IjoiMSJ9.pEXeuZT9egfzNoYBYVaCiaoRGQieJwLilHySCrQf96__EZtczr1oMkdLhTqJIcPnP1rbFqfACjrE2xiKzjSwVnPrXKKLBIxGWqd-UqH1hCY0uzai3P--YVqGOZacnFB7S0vVoco3cO6MRGxF0vPOK3_VLseYMC0_jwxgLzCP_dPc4Zoqg0TdPWeqwiEmR0577FK-SfFI8PHNknx1OS5q-_Xymo4f48gq49adQXnKeps1r7ZwCXFpbIs1vK5CXchaha2Zmbi-FzmynVKSpcBO3DV-dirkKI6C13a51dWOJOo.1t48xqt9d8Jjh5gm8WIN_Ef1DmeqtrCsYZbIrrLXju0&dib_tag=se&keywords=capacitors&qid=1750192018&s=industrial&sprefix=capacitor%2Cindustrial%2C133&sr=1-3
2PCS Hall Effect 3D Analog Sensor Joystick,$9.99,1,$9.99,(Amazon) https://www.amazon.com/Effect-Analog-Joystick-Replacement-Potentiometer/dp/B0CNX15ZX3?gQT=1
QTEATAK 2Pcs AC 20A/125V 15A/250V DPST 4 Pins 2 Position Switch,$7.99,1,$7.99,(Amazon) https://www.amazon.com/Position-Rocker-Toggle-Switch-QTEATAK/dp/B08614BYNC/ref=sr_1_27?crid=33GSO3GA20PNH&dib=eyJ2IjoiMSJ9._RJ7kaSgbEhNKcTvAcKGmdvkyLkAX77vftJn8OQpwQT7iRY2kdOjbMiGom7aAEgiL5c4pZCkHq05OwumOkqbw6KJZjvPsLxcZAAcBVZwP3uzj8hJyw3YbgPCS0LokdJsSmnhWqUc1H9g5l4fAyBDeXAkJRHxKr-0ojzUG_mwAa-_NYwcDGtdFHd2FkbI5Ht8tns8pI7wdTbhMQqXRcTtqNdExkkE2vvWEuU6ya67HdCexufATr5Ir5xY59Fa7XC3jx9c7ySOpfbXGcaBQPPvyvzlwTOcetljpgs0WiiyQdk.KNFl6bo6GQtPFETbBO--4DEPmuLBWB3O2E_ncuNZLR0&dib_tag=se&keywords=on%2Boff%2Bswitch&qid=1750192482&s=industrial&sprefix=on%2Boff%2Bswitch%2Cindustrial%2C216&sr=1-27&th=1
100Pcs 6x6x5 mm Miniature Micro Momentary Tactile Tact Touch Push Button,5.99,1,5.99,https://www.amazon.com/DAOKI-Miniature-Momentary-Tactile-Quality/dp/B01CGMP9GY/ref=sr_1_4?crid=Y6C65S0A9Z95&dib=eyJ2IjoiMSJ9.OxX5zPjhX7ayPiyTV7oEOASlySolrGtyAWxs2NEixK5WwVzhNlP3B-cjmcIBtGnn4_9SeDmO2Yt9LmGUKv1WzGui7M6RdKkWpWabVRE3pS-ubpuQfnrFf6-TKmiKbh1M4pT05JmIEyhWGKap8qb2ZN8L5haWWZUpFx8ysBBCDlhgEbYVLNC53-D8-4UcbXyfou5tuIulXHMSvGbLX7NXRu4jaiKvh77pozU320P8AFc9DhuvVMJFQxWjkLrf_-D68N5Q4vy6XsXnqdLOT5cVLluwzcrK1Z2JoyadPsjVH7E.VomT8vIXXhYUg0XOM9FjnlQBlSew0WMCMITGQnRwkHQ&dib_tag=se&keywords=button&qid=1750192672&s=industrial&sprefix=button%2Cindustrial%2C133&sr=1-4&th=1
WWZMDiB 6Pcs EC11 Rotary Encoder,8.88,1,8.88,https://www.amazon.com/WWZMDiB-Encoder-Digital-Potentiometer-Arduino/dp/B0C6Q67V97/ref=sr_1_3?crid=199FJ0L5U5OTX&dib=eyJ2IjoiMSJ9.8pKb9CsNsk7eYsj7PwrvoU1XfqE3JV3IUvkUtKBJ1W04U0QHREKRDCDmvQeFmB_5Nl4AY67ik_8CuPj6VkdgKOMHgYHry_FPcjzPRppmIskAJSGpkp7zW3gPgSqpfdl3QLRCJbxJa7sOd0rAMT7QpVR5Rmqzs7tCOVqzfeZN_ag3w6REu6L1LCfpaQfqrd9k2mvi8zJPmgT7cPjY6Z57hGKsxygfgc7-vKRN3et1GETtaKDav8_VtrpyQhVWvq-YDNgiPT_KX7Lbr8Y-6XKombyEJoczgl1LneYCwZ_o3iQ.kNghHOlLkGdx6ExECX3Ita3aJikYFu-Ie0FsS53vsoY&dib_tag=se&keywords=rotary+encoder&qid=1750192746&s=industrial&sprefix=rotar%2Cindustrial%2C131&sr=1-3
Total Amount,,,$333.32,